date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:42	87483/87483	---MCZ	200	added ('OK')	text/html	etag:W/%229eaece16a5e34827eb39cb9f323a2f36%22	https://autocare-html.vercel.app/index.html	C:/asd/autocare-html.vercel.app/index.html	(from )
18:47:42	1478/1478	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Feb%202026%2012:47:42%20GMT	https://autocare-html.vercel.app/robots.txt		(from )
18:47:42	230/230	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Feb%202026%2012:47:42%20GMT	https://autocare.dexignlab.com/xhtml/social-image.png	C:/asd/autocare.dexignlab.com/xhtml/social-image.1.delayed	(from https://autocare-html.vercel.app/index.html)
18:47:43	3277/3277	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2250bf0d7a91650fee49a2094231772b55%22	https://autocare-html.vercel.app/images/favicon.ico	C:/asd/autocare-html.vercel.app/images/favicon.ico	(from https://autocare-html.vercel.app/index.html)
18:47:43	502/502	---M--	200	added ('OK')	image/png	etag:%2267330aa9f684f94c0654f01038f88dd4%22	https://autocare-html.vercel.app/images/favicon.png	C:/asd/autocare-html.vercel.app/images/favicon.png	(from https://autocare-html.vercel.app/index.html)
18:47:44	227511/227511	---MCZ	200	added ('OK')	text/css	etag:W/%22c4b395d2f2c5ef2d1fc4f2f07f45f18b%22	https://autocare-html.vercel.app/css/style.min.css	C:/asd/autocare-html.vercel.app/css/style.min.css	(from https://autocare-html.vercel.app/index.html)
18:47:44	130085/130085	---MCZ	200	added ('OK')	text/css	etag:W/%22be2e7b262158050bffcd5b5ccfa24517%22	https://autocare-html.vercel.app/css/templete.min.css	C:/asd/autocare-html.vercel.app/css/templete.min.css	(from https://autocare-html.vercel.app/index.html)
18:47:45	534/534	---M--	200	added ('OK')	text/css	etag:%22795612e99e0c3c635ba3912cf2d840ae%22	https://autocare-html.vercel.app/css/skin/skin-1.css	C:/asd/autocare-html.vercel.app/css/skin/skin-1.css	(from https://autocare-html.vercel.app/index.html)
18:47:45	48602/48602	---MCZ	200	added ('OK')	text/css	etag:W/%222835b01c54653970dc05f9bb34c561fc%22	https://autocare-html.vercel.app/plugins/revolution/css/settings.css	C:/asd/autocare-html.vercel.app/plugins/revolution/css/settings.css	(from https://autocare-html.vercel.app/index.html)
18:47:45	59576/59576	---MCZ	200	added ('OK')	text/css	etag:W/%22edeccdff59eec69c9edaa05bf06afa6e%22	https://autocare-html.vercel.app/plugins/revolution/css/navigation.css	C:/asd/autocare-html.vercel.app/plugins/revolution/css/navigation.css	(from https://autocare-html.vercel.app/index.html)
18:47:46	3402/3402	---M--	200	added ('OK')	image/png	etag:%22aa1380cc39455f3b9767508d35592632%22	https://autocare-html.vercel.app/images/logo.png	C:/asd/autocare-html.vercel.app/images/logo.png	(from https://autocare-html.vercel.app/index.html)
18:47:47	91132/91132	---MCZ	200	added ('OK')	text/html	etag:W/%224f92c6a88ba9c6b13590f066c4061ca3%22	https://autocare-html.vercel.app/index-2.html	C:/asd/autocare-html.vercel.app/index-2.html	(from https://autocare-html.vercel.app/index.html)
18:47:47	65456/65456	---MCZ	200	added ('OK')	text/html	etag:W/%22bfa7bed4aa3d50ba0633cb966862e90e%22	https://autocare-html.vercel.app/index-3.html	C:/asd/autocare-html.vercel.app/index-3.html	(from https://autocare-html.vercel.app/index.html)
18:47:47	82190/82190	---MCZ	200	added ('OK')	text/html	etag:W/%225e35178eb1c1849caad864faceec56e1%22	https://autocare-html.vercel.app/index-4.html	C:/asd/autocare-html.vercel.app/index-4.html	(from https://autocare-html.vercel.app/index.html)
18:47:48	62672/62672	---MCZ	200	added ('OK')	text/html	etag:W/%22407eb95a2fd298bdc3d921630290a6d2%22	https://autocare-html.vercel.app/index-5.html	C:/asd/autocare-html.vercel.app/index-5.html	(from https://autocare-html.vercel.app/index.html)
18:47:48	51993/51993	---MCZ	200	added ('OK')	text/html	etag:W/%2283b6b200e75ae3b7a8348d1bf302485b%22	https://autocare-html.vercel.app/index-6.html	C:/asd/autocare-html.vercel.app/index-6.html	(from https://autocare-html.vercel.app/index.html)
18:47:49	37411/37411	---MCZ	200	added ('OK')	text/html	etag:W/%221c8b03dcbdc944ba936b4190c9773adb%22	https://autocare-html.vercel.app/index-7.html	C:/asd/autocare-html.vercel.app/index-7.html	(from https://autocare-html.vercel.app/index.html)
18:47:49	42927/42927	---MCZ	200	added ('OK')	text/html	etag:W/%22600ef151b0ef2319a6efe9df5bff7ba0%22	https://autocare-html.vercel.app/index-8.html	C:/asd/autocare-html.vercel.app/index-8.html	(from https://autocare-html.vercel.app/index.html)
18:47:49	14720/14720	---MCZ	200	added ('OK')	text/html	etag:W/%222e2fbcbf2a32e6becde9689553ce562a%22	https://autocare-html.vercel.app/index-9.html	C:/asd/autocare-html.vercel.app/index-9.html	(from https://autocare-html.vercel.app/index.html)
18:47:50	34253/34253	---MCZ	200	added ('OK')	text/html	etag:W/%22bdf7dce6a892cfeeaba3debf5419cbb1%22	https://autocare-html.vercel.app/header-style-1.html	C:/asd/autocare-html.vercel.app/header-style-1.html	(from https://autocare-html.vercel.app/index.html)
18:47:50	32348/32348	---MCZ	200	added ('OK')	text/html	etag:W/%22376c6f84bb314188e6f8e79167adec00%22	https://autocare-html.vercel.app/header-style-2.html	C:/asd/autocare-html.vercel.app/header-style-2.html	(from https://autocare-html.vercel.app/index.html)
18:47:51	32184/32184	---MCZ	200	added ('OK')	text/html	etag:W/%228605ee07d4821685294ba135d46f6807%22	https://autocare-html.vercel.app/header-style-3.html	C:/asd/autocare-html.vercel.app/header-style-3.html	(from https://autocare-html.vercel.app/index.html)
18:47:51	32169/32169	---MCZ	200	added ('OK')	text/html	etag:W/%22030d891849a1d31ac4eb86ff6935a215%22	https://autocare-html.vercel.app/header-style-4.html	C:/asd/autocare-html.vercel.app/header-style-4.html	(from https://autocare-html.vercel.app/index.html)
